bug_id,app_name,module,bug_type,severity,priority,device_type,browser,os,screenshot_available,steps_to_reproduce,expected_behavior,actual_behavior,time_to_detect_sec,time_to_fix_sec,user_impact_score,reported_by,tags,resolved,Cluster
24401,Shopease,Sidebar,Animation,Low,P3,Tablet,Firefox,Ios,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Animation Bug,32,239,5,Developer,Accessibility;Animation;Layout,True,3
42554,Shopease,Search,Crash,Medium,P3,Mobile,Firefox,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Crash,45,843,10,Developer,Accessibility;Layout,False,1
40595,Financetracker,Checkout,Broken Link,Medium,P2,Tablet,Edge,Ios,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Broken Link,48,354,9,Developer,Link;Color;UX,False,3
27912,Financetracker,Navbar,Performance,Medium,P2,Desktop,Edge,Ios,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Performance,34,826,1,Developer,Color;Performance;UX,True,0
47055,Socialbuzz,Search,Layout,High,P1,Mobile,Chrome,Windows,True,Perform action related to Search,Search works correctly,Search has issue: Layout,12,452,8,User,Crash;Layout;UX,True,4
6031,Noteapp,Navbar,Performance,High,P3,Mobile,Edge,Android,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Performance,5,575,8,Developer,Mobile;Animation,False,4
33201,Taskmanager,Navbar,Broken Link,Medium,P3,Desktop,Safari,Macos,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Broken Link,15,735,6,Developer,Crash,True,4
38315,Shopease,Toolbar,Responsiveness,Medium,P1,Desktop,Chrome,Android,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Responsiveness,23,381,6,User,Color;Accessibility;Animation,True,4
6991,Shopease,Login Form,Text Overflow,High,P3,Desktop,Firefox,Android,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Text Overflow,41,877,10,Qa,Color;Animation;Crash,True,1
41559,Taskmanager,Login Form,Broken Link,Low,P1,Desktop,Chrome,Android,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Broken Link,17,779,5,Qa,Link;Color;UX,True,0
17135,Financetracker,Search,Responsiveness,Medium,P3,Tablet,Edge,Ios,False,Perform action related to Search,Search works correctly,Search has issue: Responsiveness,30,556,9,Developer,Link;Performance;Layout,False,1
21575,Financetracker,Dashboard,Broken Link,High,P1,Mobile,Safari,Windows,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Broken Link,45,681,3,User,Crash;Accessibility,False,2
23578,Shopease,Sidebar,Accessibility,High,P1,Tablet,Safari,Macos,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Accessibility,17,173,2,Developer,Accessibility,False,0
44622,Noteapp,Sidebar,Text Overflow,Medium,P1,Mobile,Edge,Windows,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Text Overflow,8,499,2,User,Accessibility;Color;Crash,True,0
11181,Socialbuzz,Sidebar,Layout,Medium,P2,Tablet,Chrome,Windows,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Layout,58,612,2,Developer,Performance,False,5
37031,Socialbuzz,Footer,Responsiveness,High,P3,Tablet,Edge,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Responsiveness,6,242,6,Qa,Animation;Crash,False,4
10972,Taskmanager,Search,Performance,Low,P1,Desktop,Chrome,Macos,False,Perform action related to Search,Search works correctly,Search has issue: Performance,8,1000,6,Qa,UX;Link;Animation,False,0
647,Noteapp,Login Form,Broken Link,High,P3,Mobile,Safari,Ios,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Broken Link,34,158,2,User,UX;Mobile,False,2
