app_name,module,bug_type,severity,priority,device_type,browser,os,screenshot_available,steps_to_reproduce,expected_behavior,actual_behavior,time_to_detect_sec,time_to_fix_sec,user_impact_score,reported_by,tags,resolved,Cluster
Noteapp,Footer,Layout,Low,P1,Tablet,Chrome,Android,False,Perform action related to Footer,Footer works correctly,Footer has issue: Layout,55,180,10,User,Layout;Color,False,0
Taskmanager,Footer,Broken Link,High,P3,Tablet,Edge,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Broken Link,52,276,5,Developer,Crash,True,0
Noteapp,Search,Layout,Medium,P1,Tablet,Edge,Windows,False,Perform action related to Search,Search works correctly,Search has issue: Layout,37,825,4,Qa,Layout;UX,True,3
Noteapp,Checkout,Performance,Medium,P3,Tablet,Edge,Windows,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Performance,56,858,5,Developer,Animation,False,1
Socialbuzz,Editor,Layout,Low,P1,Tablet,Edge,Windows,True,Perform action related to Editor,Editor works correctly,Editor has issue: Layout,24,420,1,Developer,Accessibility;UX;Mobile,False,5
Noteapp,Toolbar,Layout,Low,P3,Mobile,Safari,Windows,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Layout,33,711,2,User,Crash;Layout,True,3
Taskmanager,Editor,Accessibility,Medium,P3,Tablet,Chrome,Macos,True,Perform action related to Editor,Editor works correctly,Editor has issue: Accessibility,5,83,4,Qa,Crash;UX;Animation,True,5
Socialbuzz,Search,Crash,Medium,P3,Tablet,Edge,Windows,True,Perform action related to Search,Search works correctly,Search has issue: Crash,10,134,3,Developer,Color;Accessibility;Mobile,True,5
Shopease,Dashboard,Performance,Low,P1,Mobile,Chrome,Windows,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,32,866,7,Qa,Layout,True,2
Taskmanager,Editor,Animation,Critical,P2,Desktop,Safari,Android,False,Perform action related to Editor,Editor works correctly,Editor has issue: Animation Bug,47,703,9,Qa,Performance;UX,True,1
Financetracker,Navbar,Broken Link,Critical,P2,Tablet,Safari,Android,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Broken Link,55,523,6,Developer,Link,False,1
Shopease,Footer,Layout,Medium,P2,Mobile,Chrome,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Layout,32,737,2,User,Accessibility;Performance;Layout,False,3
Socialbuzz,Editor,Layout,Low,P3,Desktop,Safari,Ios,True,Perform action related to Editor,Editor works correctly,Editor has issue: Layout,28,446,3,Developer,Link;Animation,False,5
Noteapp,Editor,Responsiveness,Medium,P2,Mobile,Safari,Ios,True,Perform action related to Editor,Editor works correctly,Editor has issue: Responsiveness,50,140,8,Qa,Accessibility;Link;Crash,True,0
Noteapp,Checkout,Layout,Medium,P2,Mobile,Firefox,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Layout,15,715,5,Developer,Performance;Color,False,2
Taskmanager,Toolbar,Accessibility,Low,P3,Desktop,Safari,Android,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Accessibility,5,834,2,User,Animation;Layout;Mobile,False,3
Taskmanager,Footer,Crash,Low,P2,Desktop,Firefox,Macos,True,Perform action related to Footer,Footer works correctly,Footer has issue: Crash,30,133,7,Qa,Crash,True,4
Noteapp,Editor,Performance,Medium,P1,Mobile,Edge,Macos,False,Perform action related to Editor,Editor works correctly,Editor has issue: Performance,24,475,4,User,Mobile;Performance,True,5
Noteapp,Editor,Performance,High,P2,Mobile,Edge,Macos,True,Perform action related to Editor,Editor works correctly,Editor has issue: Performance,7,461,9,User,Animation;Crash,False,4
Financetracker,Checkout,Broken Link,Critical,P3,Desktop,Safari,Ios,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Broken Link,33,113,8,User,Accessibility;Layout,False,4
Financetracker,Navbar,Responsiveness,Low,P1,Mobile,Safari,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,59,219,5,Developer,UX;Mobile;Accessibility,False,0
Noteapp,Navbar,Broken Link,Low,P2,Tablet,Chrome,Ios,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Broken Link,52,896,9,User,Mobile,False,1
Socialbuzz,Navbar,Crash,High,P3,Mobile,Safari,Ios,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Crash,58,340,4,Qa,Performance;UX,False,0
Shopease,Search,Color Mismatch,High,P3,Tablet,Safari,Android,False,Perform action related to Search,Search works correctly,Search has issue: Color Mismatch,34,340,1,Qa,Crash,True,5
Socialbuzz,Navbar,Layout,High,P3,Tablet,Edge,Macos,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Layout,58,817,2,User,Link;Performance;Animation,True,1
Taskmanager,Login Form,Responsiveness,High,P3,Desktop,Firefox,Ios,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Responsiveness,22,966,1,Developer,Link;Performance;Layout,True,3
Noteapp,Navbar,Crash,Medium,P3,Mobile,Firefox,Macos,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Crash,60,534,4,User,Link,True,0
Noteapp,Editor,Performance,High,P1,Mobile,Safari,Android,True,Perform action related to Editor,Editor works correctly,Editor has issue: Performance,16,309,8,Qa,Performance,True,4
Taskmanager,Sidebar,Layout,Medium,P3,Tablet,Firefox,Macos,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Layout,43,636,6,Qa,Link;Mobile,False,0
Noteapp,Search,Performance,Critical,P2,Tablet,Firefox,Macos,False,Perform action related to Search,Search works correctly,Search has issue: Performance,56,995,6,Qa,UX;Mobile,True,1
Socialbuzz,Navbar,Performance,Medium,P2,Mobile,Firefox,Windows,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Performance,43,317,1,User,Layout;Animation;Link,False,0
Taskmanager,Sidebar,Animation,High,P1,Mobile,Edge,Windows,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Animation Bug,35,204,3,User,UX,True,5
Taskmanager,Dashboard,Crash,Medium,P2,Tablet,Safari,Android,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Crash,38,492,8,User,Mobile;Color;Animation,True,4
Shopease,Search,Crash,High,P3,Mobile,Firefox,Windows,True,Perform action related to Search,Search works correctly,Search has issue: Crash,54,217,5,Developer,Performance,False,0
Financetracker,Toolbar,Crash,Medium,P2,Desktop,Edge,Android,True,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Crash,50,808,4,Developer,Color;Crash,True,1
Financetracker,Dashboard,Text Overflow,High,P3,Tablet,Firefox,Android,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Text Overflow,17,490,4,Developer,Animation;Accessibility;Mobile,True,5
Socialbuzz,Footer,Text Overflow,High,P1,Mobile,Firefox,Windows,True,Perform action related to Footer,Footer works correctly,Footer has issue: Text Overflow,43,251,7,Developer,Color;UX;Performance,False,0
Socialbuzz,Checkout,Accessibility,Medium,P2,Mobile,Firefox,Ios,False,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Accessibility,51,343,3,Qa,Mobile;Color,True,0
Shopease,Search,Layout,Medium,P3,Tablet,Firefox,Android,True,Perform action related to Search,Search works correctly,Search has issue: Layout,45,680,8,User,Accessibility;Animation;Mobile,False,1
Shopease,Search,Text Overflow,Medium,P1,Desktop,Safari,Android,True,Perform action related to Search,Search works correctly,Search has issue: Text Overflow,5,599,10,Qa,Animation;Mobile,False,4
Noteapp,Search,Layout,Medium,P1,Mobile,Chrome,Ios,False,Perform action related to Search,Search works correctly,Search has issue: Layout,53,907,1,Developer,Performance;Mobile;Color,False,1
Financetracker,Footer,Text Overflow,Critical,P2,Tablet,Edge,Windows,True,Perform action related to Footer,Footer works correctly,Footer has issue: Text Overflow,47,906,7,User,UX;Link;Animation,False,1
Noteapp,Footer,Accessibility,Low,P1,Tablet,Edge,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Accessibility,36,547,7,Developer,Animation,True,4
Taskmanager,Footer,Performance,Medium,P1,Mobile,Firefox,Macos,True,Perform action related to Footer,Footer works correctly,Footer has issue: Performance,59,898,9,Qa,Layout;Accessibility,True,1
Socialbuzz,Navbar,Broken Link,High,P3,Desktop,Safari,Ios,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Broken Link,35,257,7,User,Layout,False,0
Taskmanager,Sidebar,Crash,High,P2,Tablet,Chrome,Ios,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Crash,31,612,6,Qa,Crash;Link,False,2
Noteapp,Dashboard,Performance,Critical,P3,Desktop,Edge,Windows,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,30,493,4,User,Crash;Link;Accessibility,False,5
Noteapp,Navbar,Text Overflow,High,P2,Mobile,Edge,Windows,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Text Overflow,36,946,4,Developer,Layout;Performance;Crash,False,3
Shopease,Login Form,Accessibility,High,P1,Tablet,Safari,Macos,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Accessibility,35,853,6,User,Accessibility;Animation;Layout,True,2
Noteapp,Editor,Responsiveness,Medium,P1,Mobile,Edge,Windows,True,Perform action related to Editor,Editor works correctly,Editor has issue: Responsiveness,53,125,2,Developer,Color;Layout;Mobile,False,0
Taskmanager,Sidebar,Performance,Medium,P2,Tablet,Firefox,Macos,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Performance,10,315,4,User,Mobile,False,5
Taskmanager,Dashboard,Responsiveness,Medium,P2,Tablet,Chrome,Android,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Responsiveness,16,112,9,Qa,Mobile;Performance;UX,False,4
Noteapp,Login Form,Crash,Medium,P1,Desktop,Edge,Windows,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Crash,33,691,10,Developer,Layout,False,1
Taskmanager,Search,Layout,Low,P1,Desktop,Chrome,Windows,True,Perform action related to Search,Search works correctly,Search has issue: Layout,23,404,4,Developer,Link;Performance;Mobile,True,5
Taskmanager,Toolbar,Color Mismatch,Low,P3,Mobile,Safari,Macos,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Color Mismatch,50,924,3,User,Color;Crash;Layout,True,1
Socialbuzz,Dashboard,Color Mismatch,Low,P3,Desktop,Firefox,Macos,True,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Color Mismatch,38,114,4,User,Crash;Animation,True,0
Taskmanager,Search,Broken Link,High,P1,Tablet,Safari,Windows,True,Perform action related to Search,Search works correctly,Search has issue: Broken Link,47,615,2,User,Color;Link,True,0
Noteapp,Editor,Performance,Medium,P2,Mobile,Chrome,Windows,True,Perform action related to Editor,Editor works correctly,Editor has issue: Performance,34,718,7,User,Crash;Color,False,1
Socialbuzz,Sidebar,Animation,High,P2,Desktop,Chrome,Android,False,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Animation Bug,41,778,10,Developer,Animation;UX,False,2
Socialbuzz,Dashboard,Layout,Medium,P3,Mobile,Edge,Ios,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Layout,56,264,6,Qa,Mobile;Link;UX,False,0
Socialbuzz,Sidebar,Color Mismatch,High,P1,Mobile,Firefox,Windows,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Color Mismatch,17,638,1,Developer,UX;Mobile,True,3
Socialbuzz,Navbar,Accessibility,High,P2,Desktop,Safari,Ios,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Accessibility,10,793,10,Qa,Animation;Layout;Performance,True,2
Taskmanager,Navbar,Responsiveness,Low,P2,Desktop,Firefox,Ios,True,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Responsiveness,38,153,7,Developer,UX,False,0
Shopease,Dashboard,Layout,High,P1,Mobile,Edge,Ios,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Layout,29,102,6,User,Color;Layout;Accessibility,True,4
Financetracker,Footer,Broken Link,Medium,P3,Mobile,Safari,Ios,False,Perform action related to Footer,Footer works correctly,Footer has issue: Broken Link,27,130,9,User,Performance;Link,False,4
Socialbuzz,Dashboard,Responsiveness,Medium,P2,Desktop,Firefox,Ios,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Responsiveness,41,863,10,Developer,Crash,True,1
Shopease,Login Form,Accessibility,High,P3,Mobile,Safari,Android,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Accessibility,12,202,5,Developer,Color;Link;Crash,False,5
Shopease,Dashboard,Performance,Medium,P1,Tablet,Edge,Android,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Performance,15,948,6,Developer,UX;Color;Link,True,2
Financetracker,Toolbar,Accessibility,High,P2,Desktop,Safari,Macos,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Accessibility,36,353,4,Qa,UX,True,0
Noteapp,Checkout,Layout,High,P3,Desktop,Chrome,Ios,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Layout,8,342,7,User,UX;Layout,False,4
Shopease,Dashboard,Layout,Critical,P2,Tablet,Edge,Ios,False,Perform action related to Dashboard,Dashboard works correctly,Dashboard has issue: Layout,57,883,3,Qa,UX;Animation;Performance,False,1
Financetracker,Navbar,Broken Link,Critical,P1,Tablet,Firefox,Macos,False,Perform action related to Navbar,Navbar works correctly,Navbar has issue: Broken Link,7,678,3,Qa,Link;Color,False,3
Financetracker,Toolbar,Text Overflow,High,P1,Mobile,Edge,Android,False,Perform action related to Toolbar,Toolbar works correctly,Toolbar has issue: Text Overflow,46,342,6,Qa,UX;Accessibility;Performance,False,0
Taskmanager,Footer,Text Overflow,Medium,P2,Desktop,Safari,Android,True,Perform action related to Footer,Footer works correctly,Footer has issue: Text Overflow,34,569,6,Developer,Color,False,2
Socialbuzz,Search,Accessibility,Medium,P2,Desktop,Edge,Android,False,Perform action related to Search,Search works correctly,Search has issue: Accessibility,31,546,3,User,Mobile;Layout;Color,True,5
Shopease,Editor,Responsiveness,Critical,P3,Mobile,Firefox,Macos,False,Perform action related to Editor,Editor works correctly,Editor has issue: Responsiveness,29,823,9,Qa,Color;Performance,False,2
Socialbuzz,Search,Layout,High,P1,Tablet,Firefox,Macos,False,Perform action related to Search,Search works correctly,Search has issue: Layout,58,617,9,Qa,UX,False,1
Noteapp,Search,Text Overflow,Medium,P1,Mobile,Firefox,Macos,False,Perform action related to Search,Search works correctly,Search has issue: Text Overflow,49,515,3,User,Crash;Color,True,0
Taskmanager,Login Form,Accessibility,Medium,P2,Tablet,Firefox,Windows,False,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Accessibility,42,160,5,User,Animation;Mobile;Color,False,0
Taskmanager,Sidebar,Crash,Medium,P1,Tablet,Edge,Android,True,Perform action related to Sidebar,Sidebar works correctly,Sidebar has issue: Crash,52,137,2,User,Animation,False,0
Taskmanager,Login Form,Color Mismatch,Critical,P3,Mobile,Edge,Android,True,Perform action related to Login Form,Login Form works correctly,Login Form has issue: Color Mismatch,10,88,4,Qa,UX;Link;Animation,False,5
Noteapp,Checkout,Color Mismatch,Medium,P2,Desktop,Edge,Macos,True,Perform action related to Checkout,Checkout works correctly,Checkout has issue: Color Mismatch,19,588,5,Qa,Link;Layout,True,2
